NP;alpha;
0;0.2;
0.015;0.202;
0.016;0.205;
0.017;0.207;
0.018;0.21;
0.019;0.212;
0.02;0.215;
0.021;0.217;
0.022;0.219;
0.023;0.222;
0.024;0.224;
0.025;0.226;
0.026;0.228;
0.027;0.23;
0.028;0.233;
0.029;0.235;
0.03;0.237;
0.031;0.239;
0.032;0.241;
0.033;0.243;
0.034;0.245;
0.035;0.247;
0.036;0.249;
0.037;0.25;
0.038;0.252;
0.039;0.254;
0.04;0.256;
0.041;0.258;
0.042;0.259;
0.043;0.261;
0.044;0.263;
0.045;0.265;
0.046;0.266;
0.047;0.268;
0.048;0.27;
0.049;0.271;
0.05;0.273;
0.052;0.276;
0.054;0.28;
0.056;0.283;
0.058;0.286;
0.06;0.289;
0.062;0.292;
0.064;0.295;
0.065;0.298;
0.068;0.301;
0.07;0.304;
0.072;0.307;
0.074;0.309;
0.076;0.312;
0.078;0.315;
0.08;0.318;
0.082;0.32;
0.084;0.323;
0.086;0.326;
0.088;0.328;
0.09;0.331;
0.092;0.333;
0.094;0.336;
0.096;0.338;
0.098;0.341;
0.1;0.343;
0.105;0.349;
0.11;0.355;
0.115;0.361;
0.12;0.367;
0.125;0.373;
0.13;0.378;
0.135;0.384;
0.14;0.389;
0.145;0.394;
0.15;0.399;
0.155;0.405;
0.16;0.41;
0.165;0.415;
0.17;0.42;
0.175;0.425;
0.18;0.43;
0.185;0.435;
0.19;0.439;
0.195;0.444;
0.2;0.449;
0.21;0.458;
0.22;0.467;
0.23;0.476;
0.24;0.485;
0.25;0.493;
0.26;0.502;
0.27;0.51;
0.28;0.518;
0.29;0.526;
0.3;0.534;
0.31;0.542;
0.32;0.55;
0.33;0.558;
0.34;0.565;
0.35;0.573;
0.36;0.58;
0.37;0.588;
0.38;0.595;
0.39;0.602;
0.4;0.61;
0.41;0.617;
0.42;0.624;
0.43;0.631;
0.44;0.638;
0.45;0.645;
0.46;0.652;
0.47;0.658;
0.48;0.665;
0.49;0.672;
0.5;0.678;
0.52;0.692;
0.54;0.704;
0.56;0.717;
0.58;0.73;
0.6;0.742;
0.62;0.755;
0.64;0.767;
0.66;0.779;
0.68;0.791;
0.7;0.803;
0.72;0.815;
0.74;0.826;
0.76;0.838;
0.78;0.849;
0.8;0.86;
0.82;0.872;
0.84;0.883;
0.86;0.894;
0.88;0.905;
0.9;0.916;
0.92;0.927;
0.94;0.937;
0.96;0.948;
0.98;0.959;
1;0.969;
1.05;0.995;
1.1;1.021;
1.15;1.046;
1.2;1.071;
1.25;1.096;
1.3;1.12;
1.35;1.144;
1.4;1.168;
1.45;1.191;
1.5;1.215;
1.55;1.238;
1.6;1.261;
1.65;1.283;
1.7;1.306;
1.75;1.328;
1.8;1.35;
1.85;1.372;
1.9;1.394;
1.95;1.416;
2;1.437;
2.1;1.479;
2.2;1.521;
2.3;1.563;
2.4;1.604;
2.5;1.644;
2.6;1.684;
2.7;1.724;
2.8;1.763;
2.9;1.802;
3;1.84;
3.1;1.879;
3.2;1.917;
3.3;1.954;
3.4;1.991;
3.5;2.029;
3.6;2.065;
3.7;2.102;
3.8;2.138;
3.9;2.174;
4;2.21;
4.1;2.246;
4.2;2.281;
4.3;2.317;
4.4;2.352;
4.5;2.386;
4.6;2.421;
4.7;2.456;
4.8;2.49;
4.9;2.524;
5;2.558;
5.1;2.592;
5.2;2.626;
5.3;2.66;
5.4;2.693;
5.5;2.726;
5.6;2.76;
5.7;2.793;
5.8;2.826;
5.9;2.858;
6;2.891;
6.1;2.924;
6.2;2.956;
6.3;2.989;
6.4;3.021;
6.5;3.053;
6.6;3.085;
6.7;3.117;
6.8;3.149;
6.9;3.181;
7;3.212;
7.1;3.244;
7.2;3.275;
7.3;3.307;
7.4;3.338;
7.5;3.369;
7.6;3.4;
7.7;3.431;
7.8;3.462;
7.9;3.493;
8;3.524;
8.1;3.555;
8.2;3.585;
8.3;3.616;
8.4;3.646;
8.5;3.677;
8.6;3.707;
8.7;3.738;
8.8;3.768;
8.9;3.798;
9;3.828;
9.1;3.858;
9.2;3.888;
9.3;3.918;
9.4;3.948;
9.5;3.978;
9.6;4.008;
9.7;4.037;
9.8;4.067;
9.9;4.097;
10;4.126;
10.2;4.185;
10.4;4.244;
10.6;4.302;
10.8;4.361;
11;4.419;
11.2;4.477;
11.4;4.534;
11.6;4.592;
11.8;4.649;
12;4.707;
12.2;4.764;
12.4;4.82;
12.6;4.877;
12.8;4.934;
13;4.99;
13.2;5.047;
13.4;5.103;
13.6;5.159;
13.8;5.215;
14;5.27;
14.2;5.326;
14.4;5.382;
14.6;5.437;
14.8;5.492;
15;5.547;
15.2;5.602;
15.4;5.657;
15.6;5.712;
15.8;5.767;
16;5.821;
16.2;5.876;
16.4;5.93;
16.6;5.984;
16.8;6.039;
17;6.093;
17.2;6.147;
17.4;6.201;
17.6;6.254;
17.8;6.308;
18;6.362;
18.2;6.415;
18.4;6.469;
18.6;6.522;
18.8;6.575;
19;6.629;
19.2;6.682;
19.4;6.734;
19.6;6.788;
19.8;6.84;
20;6.893;
20.5;7.025;
21;7.156;
21.5;7.287;
22;7.417;
22.5;7.547;
23;7.677;
23.5;7.806;
24;7.935;
24.5;8.064;
25;8.192;
25.5;8.32;
26;8.447;
26.5;8.575;
27;8.701;
27.5;8.828;
28;8.955;
28.5;9.081;
29;9.207;
29.5;9.332;
30;9.457;
30.5;9.583;
31;9.707;
31.5;9.832;
32;9.957;
32.5;10.08;
33;10.2;
33.5;10.33;
34;10.45;
34.5;10.58;
35;10.7;
35.5;10.82;
36;10.94;
36.5;11.07;
37;11.19;
37.5;11.31;
38;11.43;
38.5;11.56;
39;11.68;
39.5;11.8;
40;11.92;
40.5;12.04;
41;12.16;
41.5;12.28;
42;12.41;
42.5;12.53;
43;12.65;
43.5;12.77;
44;12.89;
44.5;13.01;
45;13.13;
45.5;13.25;
46;13.37;
46.5;13.49;
47;13.61;
47.5;13.73;
48;13.85;
48.5;13.97;
49;14.09;
49.5;14.2;
50;14.32;
51;14.56;
52;14.8;
53;15.04;
54;15.27;
55;15.51;
56;15.74;
57;15.98;
58;16.22;
59;16.45;
60;16.69;
61;16.92;
62;17.15;
63;17.39;
64;17.62;
65;17.85;
66;18.09;
67;18.32;
68;18.55;
69;18.79;
70;19.02;
71;19.25;
72;19.48;
73;19.71;
74;19.94;
75;20.18;
76;20.41;
77;20.64;
78;20.87;
79;21.1;
80;21.33;
81;21.56;
82;21.69;
83;22.02;
84;22.25;
85;22.48;
86;22.71;
87;22.94;
88;23.17;
89;23.39;
90;23.62;
91;23.85;
92;24.08;
93;24.31;
94;24.54;
95;24.77;
96;24.99;
97;25.22;
98;25.45;
99;25.68;
100;25.91;
102;26.36;
104;26.82;
106;27.27;
108;27.72;
110;28.18;
112;28.63;
114;29.09;
116;29.54;
118;29.89;
120;30.44;
122;30.9;
124;31.35;
126;31.8;
128;32.25;
130;32.7;
132;33.15;
134;33.6;
136;34.06;
138;34.51;
140;34.96;
142;35.41;
144;35.86;
146;36.31;
148;36.76;
150;37.21;
152;37.66;
154;38.11;
156;38.56;
158;39.01;
160;39.46;
162;39.91;
164;40.35;
166;40.8;
168;41.25;
170;41.7;
172;42.15;
174;42.6;
176;43.05;
178;43.5;
180;43.95;
182;44.4;
184;44.84;
186;45.29;
188;45.74;
190;46.19;
192;46.64;
194;47.09;
196;47.54;
198;47.99;
200;48.43;
205;49.49;
210;50.59;
215;51.7;
220;52.8;
225;53.9;
230;55;
235;56.1;
240;57.19;
245;58.29;
250;59.38;
255;60.48;
260;61.57;
265;62.66;
270;63.75;
275;64.85;
280;65.94;
285;67.03;
290;68.12;
295;69.2;
300;70.29;
305;71.38;
310;72.46;
315;73.55;
320;74.63;
325;75.72;
330;76.8;
335;77.88;
340;78.96;
345;80.04;
350;81.12;
355;82.2;
360;83.28;
365;84.36;
370;85.44;
375;86.52;
380;87.6;
385;88.67;
390;89.75;
395;90.82;
400;91.9;
405;92.97;
410;94.05;
415;95.12;
420;96.2;
425;97.27;
430;98.34;
435;99.41;
440;100.49;
445;101.56;
450;102.63;
455;103.7;
460;104.77;
465;105.84;
470;106.91;
475;107.98;
480;109.05;
485;110.11;
490;111.18;
495;112.25;
500;113.32;
505;114.38;
510;115.45;
515;116.52;
520;117.58;
525;118.65;
530;119.71;
535;120.78;
540;121.84;
545;122.91;
550;123.97;
555;125.04;
560;126.1;
565;127.16;
570;128.22;
575;129.29;
580;130.35;
585;131.41;
590;132.47;
595;133.54;
600;134.6;
605;135.66;
610;136.72;
615;137.78;
620;138.84;
625;139.9;
630;140.96;
635;142.02;
640;143.08;
645;144.14;
650;145.2;
655;146.25;
660;147.31;
665;148.37;
670;149.43;
675;150.49;
680;151.55;
685;152.6;
690;153.66;
695;154.72;
700;155.77;
705;156.83;
710;157.89;
715;158.94;
720;160;
725;161.06;
730;162.11;
735;163.17;
740;164.22;
745;165.28;
750;166.33;
755;167.39;
760;168.44;
765;169.5;
770;170.55;
775;171.6;
780;172.66;
785;173.71;
790;174.76;
795;175.82;
800;176.87;
810;178.98;
820;181.08;
830;183.19;
840;185.29;
850;187.39;
860;189.49;
870;191.6;
880;193.7;
890;195.7;
900;197.9;
910;200;
920;202.1;
930;204.2;
940;206.3;
950;208.39;
960;210.49;
970;212.59;
980;214.68;
990;216.78;
1000;218.87;
1250;271.14;
1600;343.9;
2000;426.8;